812,2032
917,2184
633,2381
928,1783
790,1815
982,2272
975,1614
566,1913
813,2389
516,2121
888,1772
556,2338
609,1880
823,1702
630,2030
913,1950
919,1932
885,2423
571,2354
593,1884
650,1781
776,1972
670,2326
909,2115
802,1813
955,1907
751,1936
806,1611
850,1508
898,1710
817,2363
892,1836
860,1864
969,2446
581,1878
700,1916
775,1993
856,2223
826,1617
853,2231
688,2396
603,2450
652,1509
591,2183
689,1858
552,2408
506,1956
910,1519
895,2472
626,1764
812,2032
917,2184
633,2381
928,1783
790,1815
982,2272
975,1614
566,1913
813,2389
516,2121
888,1772
556,2338
609,1880
823,1702
630,2030
913,1950
919,1932
885,2423
571,2354
593,1884
650,1781
776,1972
670,2326
909,2115
802,1813
955,1907
751,1936
806,1611
850,1508
898,1710
817,2363
892,1836
860,1864
969,2446
581,1878
700,1916
775,1993
856,2223
826,1617
853,2231
688,2396
603,2450
652,1509
591,2183
689,1858
552,2408
506,1956
910,1519
895,2472
626,1764
812,2032
917,2184
633,2381
928,1783
790,1815
982,2272
975,1614
566,1913
813,2389
516,2121
888,1772
556,2338
609,1880
823,1702
630,2030
913,1950
919,1932
885,2423
571,2354
593,1884
650,1781
776,1972
670,2326
909,2115
802,1813
955,1907
751,1936
806,1611
850,1508
898,1710
817,2363
892,1836
860,1864
969,2446
581,1878
700,1916
775,1993
856,2223
826,1617
853,2231
688,2396
603,2450
652,1509
591,2183
689,1858
552,2408
506,1956
910,1519
895,2472
626,1764
812,2032
917,2184
633,2381
928,1783
790,1815
982,2272
975,1614
566,1913
813,2389
516,2121
888,1772
556,2338
609,1880
823,1702
630,2030
913,1950
919,1932
885,2423
571,2354
593,1884
650,1781
776,1972
670,2326
909,2115
802,1813
955,1907
751,1936
806,1611
850,1508
898,1710
817,2363
892,1836
860,1864
969,2446
581,1878
700,1916
775,1993
856,2223
826,1617
853,2231
688,2396
603,2450
652,1509
591,2183
689,1858
552,2408
506,1956
910,1519
895,2472
626,1764
812,2032
917,2184
633,2381
928,1783
790,1815
982,2272
975,1614
566,1913
813,2389
516,2121
888,1772
556,2338
609,1880
823,1702
630,2030
913,1950
919,1932
885,2423
571,2354
593,1884
650,1781
776,1972
670,2326
909,2115
802,1813
955,1907
751,1936
806,1611
850,1508
898,1710
817,2363
892,1836
860,1864
969,2446
581,1878
700,1916
775,1993
856,2223
826,1617
853,2231
688,2396
603,2450
652,1509
591,2183
689,1858
552,2408
506,1956
910,1519
895,2472
626,1764

